"MACRORREGIÃO ","UNIDADES EXECUTANTES","COMPLEXIDADE","TIPO DE ATENDIMENTO","TIPO DE LEITO","ESPECIALIDADES","FLUXO REGULATÓRIO","PARTICULARIDADES DA SOLICITAÇÃO POR UNIDADE EXECUTANTE","COBERTURA SAD - MUNICÍPIO REFERÊNCIA X UN. EXECUTANTE","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDESTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA PEDIATRICA","ONCOLOGIA CIRURGICA ","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDESTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA PEDIATRICA","ONCOLOGIA","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDESTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI PEDIATRICA","ONCOLOGIA ","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDOESTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA PEDIATRICA","ONCOLOGIA CIRURGICA ","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDOESTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA PEDIATRICA","ONCOLOGIA","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDOESTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI PEDIATRICA","ONCOLOGIA ","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
"NORDESTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA PEDIATRICA","ONCOLOGIA CIRURGICA ","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
"NORDESTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA PEDIATRICA","ONCOLOGIA","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
"NORDESTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI PEDIATRICA","ONCOLOGIA ","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
"CENTRO NORTE","CORA - GOIÂNIA ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI PEDIATRICA","ONCOLOGIA ","REGULAÇÃO PARA O LEITO","CORA - DE 0 a 17 ANOS, ONCOLOGIA EM GERAL, EXCETO TUMORES DE ORIGEM VASCULAR; GINECOLÓGICOS, MAMA E PELE. 
DE 18 a 23 ANOS APENAS NEOPLASIA MALIGNA ÓSSEA (sarcoma de Ewing e osteossarcoma)","","","","","","","","","","","","","","","","","","","","",""
