"MACRORREGIÃO ","UNIDADES EXECUTANTES","COMPLEXIDADE","TIPO DE ATENDIMENTO","TIPO DE LEITO","ESPECIALIDADES","FLUXO REGULATÓRIO","PARTICULARIDADES DA SOLICITAÇÃO POR UNIDADE EXECUTANTE","COBERTURA SAD - MUNICÍPIO REFERÊNCIA X UN. EXECUTANTE","","","","","","","","","","","","","","","","","","","",""
"NORDESTE","HCN - URUAÇU ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","PRONTO SOCORRO","PEDIATRIA","ENCAMINHAMENTO DE URGÊNCIA ","HCN: CIPE QUARTA A SÁBADO","","","","","","","","","","","","","","","","","","","","",""
"CENTRO NORTE","HCN - URUAÇU ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI PEDIATRICA","PEDIATRIA","ACEITE DA UNIDADE EXECUTANTE","HCN: CIPE QUARTA A SÁBADO","","","","","","","","","","","","","","","","","","","","",""
"NORDESTE","HCN - URUAÇU ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI PEDIATRICA","PEDIATRIA","ACEITE DA UNIDADE EXECUTANTE","HCN: CIPE QUARTA A SÁBADO","","","","","","","","","","","","","","","","","","","","",""
"CENTRO NORTE","HCN - URUAÇU ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI PEDIATRICA","PEDIATRIA","INTERNAÇÃO PRÓPRIA (COTA DIRETA)","HCN: PACIENTES ATENDIDOS PELA URGÊNCIA/EMERGÊNCIA E EGRESSOS DE CIRURGIA ELETIVA OU AMBULATÓRIO.","","","","","","","","","","","","","","","","","","","","",""
"CENTRO NORTE","HCN - URUAÇU ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO (SAÚDE MENTAL)","SAÚDE MENTAL","INTERNAÇÃO PRÓPRIA (COTA DIRETA)","HCN: PACIENTES ATENDIDOS PELA URGÊNCIA/EMERGÊNCIA E EGRESSOS DE CIRURGIA ELETIVA OU AMBULATÓRIO.","","","","","","","","","","","","","","","","","","","","",""
"CENTRO NORTE","HCN - URUAÇU ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO (SAÚDE MENTAL)","SAÚDE MENTAL","ACEITE DA UNIDADE EXECUTANTE","-","","","","","","","","","","","","","","","","","","","","",""
"NORDESTE","HCN - URUAÇU ","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO (SAÚDE MENTAL)","SAÚDE MENTAL","ACEITE DA UNIDADE EXECUTANTE","-","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDOESTE","HCRV - RIO VERDE","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","CLÍNICA MÉDICA","INTERNAÇÃO PRÓPRIA (COTA DIRETA)","HCRV: INTERNAÇÃO PRÓPRIA (COTA DIRETA), SOMENTE PARA PACIENTES EGRESSOS DA CIRURGIA ELETIVA OU DO AMBULAUTORIO, MEDIANTE ANEXO DA FILIPETA DO REGNET/GERCON. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDOESTE","HCRV - RIO VERDE","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","CLÍNICA MÉDICA","REGULAÇÃO PARA O LEITO","HCRV: 8 LEITOS DE UTI E 4 ENFERMARIA CLINICA PARA ALTA DA UTI","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDOESTE","HCRV - RIO VERDE","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","ONCOLOGIA","REGULAÇÃO PARA O LEITO","HCRV: APENAS INTERCORRÊNCIAS CLÍNICAS DE PACIENTES ONCOLÓGICOS COM NECESSIDADE DE UTI ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","HCSPA - GOIAS","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","CLÍNICA MÉDICA","INTERNAÇÃO PRÓPRIA (COTA DIRETA)","HCSPA: INTERNAÇÃO PRÓPRIA (COTA DIRETA), SOMENTE PARA PACIENTES EGRESSOS DA CIRURGIA ELETIVA OU DO AMBULAUTORIO, MEDIANTE ANEXO DA FILIPETA DO REGNET/GERCON","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","HCSPA - GOIAS","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","CLÍNICA MÉDICA","REGULAÇÃO PARA O LEITO","HCSPA: 10 LEITOS DE UTI E 3 ENFERMARIA CLINICA PARA ALTA DA UTI ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","HDS - GOIÂNIA","MÉDIA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO","CUIDADOS PROLONGADOS","REGULAÇÃO PARA O LEITO","HDS: HORARIO DE ADMISSAO DAS 07h as 19h. ACIMA DE 16 ANOS COM MAIS DE 50 KG, OBRIGATÓRIO ACOMPANHANTE DURANTE O TRATAMENTO 

PERFIL: 
ANTIBIOTICOTERAPIA VENOSA OU ANTIFÙNGICA PROLONGADA, PARA O AJUSTE DE DROGAS DE USO CONTÌNUO, COMO ANTICONVULSIONANTES E ANTIGOAGULANTES;
PACIENTES TRASQUEOTOMIZADOS EM FASE DE DECANULAÇÃO;
PACIENTES DISFÀGICOS EM TREINAMENTO PARA REABILITAÇÃO DA VIA ORAL;
PACIENTES NECESSITANDO DE TRATAMENTO DE LPP
PACIENTES EM CUIDADOS PALIATIVOS

SUPORTE DAS SEGUINTES ESPECIALIDADES: ANGIOLOGIA, CARDIOLOGIA, CUIDADOS PROLONGADOS, DERMATOLOGIA, ENDOCRINOLOGIA, GERIATRIA, NEUROLOGIA, ORTOPEDIA, PNEUMOLOGIA, PSIQUIATRIA, OFTALMOLOGIA E REUMATOLOGIA ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO NORTE ","HDS - GOIÂNIA","MÉDIA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO","CUIDADOS PROLONGADOS","REGULAÇÃO PARA O LEITO","HDS: HORARIO DE ADMISSAO DAS 07h as 19h. ACIMA DE 16 ANOS COM MAIS DE 50 KG, OBRIGATÓRIO ACOMPANHANTE DURANTE O TRATAMENTO 

PERFIL: 
ANTIBIOTICOTERAPIA VENOSA OU ANTIFÙNGICA PROLONGADA, PARA O AJUSTE DE DROGAS DE USO CONTÌNUO, COMO ANTICONVULSIONANTES E ANTIGOAGULANTES;
PACIENTES TRASQUEOTOMIZADOS EM FASE DE DECANULAÇÃO;
PACIENTES DISFÀGICOS EM TREINAMENTO PARA REABILITAÇÃO DA VIA ORAL;
PACIENTES NECESSITANDO DE TRATAMENTO DE LPP
PACIENTES EM CUIDADOS PALIATIVOS

SUPORTE DAS SEGUINTES ESPECIALIDADES: ANGIOLOGIA, CARDIOLOGIA, CUIDADOS PROLONGADOS, DERMATOLOGIA, ENDOCRINOLOGIA, GERIATRIA, NEUROLOGIA, ORTOPEDIA, PNEUMOLOGIA, PSIQUIATRIA, OFTALMOLOGIA E REUMATOLOGIA ","","","","","","","","","","","","","","","","","","","","",""
"NORDESTE","HDS - GOIÂNIA","MÉDIA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO","CUIDADOS PROLONGADOS","REGULAÇÃO PARA O LEITO","HDS: HORARIO DE ADMISSAO DAS 07h as 19h. ACIMA DE 16 ANOS COM MAIS DE 50 KG, OBRIGATÓRIO ACOMPANHANTE DURANTE O TRATAMENTO 

PERFIL: 
ANTIBIOTICOTERAPIA VENOSA OU ANTIFÙNGICA PROLONGADA, PARA O AJUSTE DE DROGAS DE USO CONTÌNUO, COMO ANTICONVULSIONANTES E ANTIGOAGULANTES;
PACIENTES TRASQUEOTOMIZADOS EM FASE DE DECANULAÇÃO;
PACIENTES DISFÀGICOS EM TREINAMENTO PARA REABILITAÇÃO DA VIA ORAL;
PACIENTES NECESSITANDO DE TRATAMENTO DE LPP
PACIENTES EM CUIDADOS PALIATIVOS

SUPORTE DAS SEGUINTES ESPECIALIDADES: ANGIOLOGIA, CARDIOLOGIA, CUIDADOS PROLONGADOS, DERMATOLOGIA, ENDOCRINOLOGIA, GERIATRIA, NEUROLOGIA, ORTOPEDIA, PNEUMOLOGIA, PSIQUIATRIA, OFTALMOLOGIA E REUMATOLOGIA ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDESTE","HDS - GOIÂNIA","MÉDIA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO","CUIDADOS PROLONGADOS","REGULAÇÃO PARA O LEITO","HDS: HORARIO DE ADMISSAO DAS 07h as 19h. ACIMA DE 16 ANOS COM MAIS DE 50 KG, OBRIGATÓRIO ACOMPANHANTE DURANTE O TRATAMENTO 

PERFIL: 
ANTIBIOTICOTERAPIA VENOSA OU ANTIFÙNGICA PROLONGADA, PARA O AJUSTE DE DROGAS DE USO CONTÌNUO, COMO ANTICONVULSIONANTES E ANTIGOAGULANTES;
PACIENTES TRASQUEOTOMIZADOS EM FASE DE DECANULAÇÃO;
PACIENTES DISFÀGICOS EM TREINAMENTO PARA REABILITAÇÃO DA VIA ORAL;
PACIENTES NECESSITANDO DE TRATAMENTO DE LPP
PACIENTES EM CUIDADOS PALIATIVOS

SUPORTE DAS SEGUINTES ESPECIALIDADES: ANGIOLOGIA, CARDIOLOGIA, CUIDADOS PROLONGADOS, DERMATOLOGIA, ENDOCRINOLOGIA, GERIATRIA, NEUROLOGIA, ORTOPEDIA, PNEUMOLOGIA, PSIQUIATRIA, OFTALMOLOGIA E REUMATOLOGIA ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDOESTE","HDS - GOIÂNIA","MÉDIA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA ADULTO","CUIDADOS PROLONGADOS","REGULAÇÃO PARA O LEITO","HDS: HORARIO DE ADMISSAO DAS 07h as 19h. ACIMA DE 16 ANOS COM MAIS DE 50 KG, OBRIGATÓRIO ACOMPANHANTE DURANTE O TRATAMENTO 

PERFIL: 
ANTIBIOTICOTERAPIA VENOSA OU ANTIFÙNGICA PROLONGADA, PARA O AJUSTE DE DROGAS DE USO CONTÌNUO, COMO ANTICONVULSIONANTES E ANTIGOAGULANTES;
PACIENTES TRASQUEOTOMIZADOS EM FASE DE DECANULAÇÃO;
PACIENTES DISFÀGICOS EM TREINAMENTO PARA REABILITAÇÃO DA VIA ORAL;
PACIENTES NECESSITANDO DE TRATAMENTO DE LPP
PACIENTES EM CUIDADOS PALIATIVOS

SUPORTE DAS SEGUINTES ESPECIALIDADES: ANGIOLOGIA, CARDIOLOGIA, CUIDADOS PROLONGADOS, DERMATOLOGIA, ENDOCRINOLOGIA, GERIATRIA, NEUROLOGIA, ORTOPEDIA, PNEUMOLOGIA, PSIQUIATRIA, OFTALMOLOGIA E REUMATOLOGIA ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","HDT - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","CLÍNICA MÉDICA","ACEITE DA UNIDADE EXECUTANTE ","HDT - TRATAMENTO CLÍNICO E/OU DOENÇAS INFECTOCONTAGIOSAS/DERMATOLÓGICAS. TUBERCULOSE, MENINGITE, HEPATITE, AIDS, TÉTANO, ACIDENTES OFÍDICOS, BIOLOGICO E  RÁBICO, HANSENÍASE, PÊNFIGO, VITILIGO, ARBOVIROSE, SRAG, EXPOSIÇÃO VERTICAL AO HIV, FEBRE TIFOIDE, BROQUIOLITE, COQUELUCHE, DIFTERIA, ESQUITOSSOMOSE, DOENÇAS EXANTEMATICAS FEBRIS, LEISHIMANIOSE, MENINGOENCEFALITE INFECCIOSA, MICOSES SISTEMICAS, PNEUMONIA COMPLICADA, RAIVA HUMANA, HIV, SINDROME ICTEROHEMORRAGICAS, TOXOPLASMOSE, INFECÇÕES DE PELES E PARTES MOLES, VARICELA COM COMPLICAÇÃO. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","HDT - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","INFECTOLOGIA","ACEITE DA UNIDADE EXECUTANTE ","HDT - TRATAMENTO CLÍNICO E/OU DOENÇAS INFECTOCONTAGIOSAS/DERMATOLÓGICAS. TUBERCULOSE, MENINGITE, HEPATITE, AIDS, TÉTANO, ACIDENTES OFÍDICOS, BIOLOGICO E  RÁBICO, HANSENÍASE, PÊNFIGO, VITILIGO, ARBOVIROSE, SRAG, EXPOSIÇÃO VERTICAL AO HIV, FEBRE TIFOIDE, BROQUIOLITE, COQUELUCHE, DIFTERIA, ESQUITOSSOMOSE, DOENÇAS EXANTEMATICAS FEBRIS, LEISHIMANIOSE, MENINGOENCEFALITE INFECCIOSA, MICOSES SISTEMICAS, PNEUMONIA COMPLICADA, RAIVA HUMANA, HIV, SINDROME ICTEROHEMORRAGICAS, TOXOPLASMOSE, INFECÇÕES DE PELES E PARTES MOLES, VARICELA COM COMPLICAÇÃO. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","HDT - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","DERMATOLOGIA","ACEITE DA UNIDADE EXECUTANTE","HDT - NÃO É AUTORIZADO ENCAMINHAMENTO DE URGENCIA, APENAS DIRECIONAR O PROTOCOLO E AGUARDAR ACEITE DE ACORDO COM A DISPONIBILIDADE DA UNIDADE. 

PERFIL: TRATAMENTO CLÍNICO E/OU DOENÇAS INFECTOCONTAGIOSAS/DERMATOLÓGICAS. TUBERCULOSE, MENINGITE, HEPATITE, AIDS, TÉTANO, ACIDENTES OFÍDICOS, BIOLOGICO E  RÁBICO, HANSENÍASE, PÊNFIGO, VITILIGO, ARBOVIROSE, SRAG, EXPOSIÇÃO VERTICAL AO HIV, FEBRE TIFOIDE, BROQUIOLITE, COQUELUCHE, DIFTERIA, ESQUITOSSOMOSE, DOENÇAS EXANTEMATICAS FEBRIS, LEISHIMANIOSE, MENINGOENCEFALITE INFECCIOSA, MICOSES SISTEMICAS, PNEUMONIA COMPLICADA, RAIVA HUMANA, HIV, SINDROME ICTEROHEMORRAGICAS, TOXOPLASMOSE, INFECÇÕES DE PELES E PARTES MOLES, VARICELA COM COMPLICAÇÃO. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO OESTE","HDT - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA PEDIATRICA","PEDIATRIA","ACEITE DA UNIDADE EXECUTANTE","HDT - TRATAMENTO CLÍNICO E/OU DOENÇAS INFECTOCONTAGIOSAS/DERMATOLÓGICAS. TUBERCULOSE, MENINGITE, HEPATITE, AIDS, TÉTANO, ACIDENTES OFÍDICOS, BIOLOGICO E  RÁBICO, HANSENÍASE, PÊNFIGO, VITILIGO, ARBOVIROSE, SRAG, EXPOSIÇÃO VERTICAL AO HIV, FEBRE TIFOIDE, BROQUIOLITE, COQUELUCHE, DIFTERIA, ESQUITOSSOMOSE, DOENÇAS EXANTEMATICAS FEBRIS, LEISHIMANIOSE, MENINGOENCEFALITE INFECCIOSA, MICOSES SISTEMICAS, PNEUMONIA COMPLICADA, RAIVA HUMANA, HIV, SINDROME ICTEROHEMORRAGICAS, TOXOPLASMOSE, INFECÇÕES DE PELES E PARTES MOLES, VARICELA COM COMPLICAÇÃO. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO NORTE","HDT - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","CLÍNICA MÉDICA","ACEITE DA UNIDADE EXECUTANTE ","HDT - TRATAMENTO CLÍNICO E/OU DOENÇAS INFECTOCONTAGIOSAS/DERMATOLÓGICAS. TUBERCULOSE, MENINGITE, HEPATITE, AIDS, TÉTANO, ACIDENTES OFÍDICOS, BIOLOGICO E  RÁBICO, HANSENÍASE, PÊNFIGO, VITILIGO, ARBOVIROSE, SRAG, EXPOSIÇÃO VERTICAL AO HIV, FEBRE TIFOIDE, BROQUIOLITE, COQUELUCHE, DIFTERIA, ESQUITOSSOMOSE, DOENÇAS EXANTEMATICAS FEBRIS, LEISHIMANIOSE, MENINGOENCEFALITE INFECCIOSA, MICOSES SISTEMICAS, PNEUMONIA COMPLICADA, RAIVA HUMANA, HIV, SINDROME ICTEROHEMORRAGICAS, TOXOPLASMOSE, INFECÇÕES DE PELES E PARTES MOLES, VARICELA COM COMPLICAÇÃO. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO NORTE","HDT - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","INFECTOLOGIA","ACEITE DA UNIDADE EXECUTANTE ","HDT - TRATAMENTO CLÍNICO E/OU DOENÇAS INFECTOCONTAGIOSAS/DERMATOLÓGICAS. TUBERCULOSE, MENINGITE, HEPATITE, AIDS, TÉTANO, ACIDENTES OFÍDICOS, BIOLOGICO E  RÁBICO, HANSENÍASE, PÊNFIGO, VITILIGO, ARBOVIROSE, SRAG, EXPOSIÇÃO VERTICAL AO HIV, FEBRE TIFOIDE, BROQUIOLITE, COQUELUCHE, DIFTERIA, ESQUITOSSOMOSE, DOENÇAS EXANTEMATICAS FEBRIS, LEISHIMANIOSE, MENINGOENCEFALITE INFECCIOSA, MICOSES SISTEMICAS, PNEUMONIA COMPLICADA, RAIVA HUMANA, HIV, SINDROME ICTEROHEMORRAGICAS, TOXOPLASMOSE, INFECÇÕES DE PELES E PARTES MOLES, VARICELA COM COMPLICAÇÃO. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO NORTE","HDT - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","DERMATOLOGIA","ACEITE DA UNIDADE EXECUTANTE","HDT - NÃO É AUTORIZADO ENCAMINHAMENTO DE URGENCIA, APENAS DIRECIONAR O PROTOCOLO E AGUARDAR ACEITE DE ACORDO COM A DISPONIBILIDADE DA UNIDADE. 

PERFIL: TRATAMENTO CLÍNICO E/OU DOENÇAS INFECTOCONTAGIOSAS/DERMATOLÓGICAS. TUBERCULOSE, MENINGITE, HEPATITE, AIDS, TÉTANO, ACIDENTES OFÍDICOS, BIOLOGICO E  RÁBICO, HANSENÍASE, PÊNFIGO, VITILIGO, ARBOVIROSE, SRAG, EXPOSIÇÃO VERTICAL AO HIV, FEBRE TIFOIDE, BROQUIOLITE, COQUELUCHE, DIFTERIA, ESQUITOSSOMOSE, DOENÇAS EXANTEMATICAS FEBRIS, LEISHIMANIOSE, MENINGOENCEFALITE INFECCIOSA, MICOSES SISTEMICAS, PNEUMONIA COMPLICADA, RAIVA HUMANA, HIV, SINDROME ICTEROHEMORRAGICAS, TOXOPLASMOSE, INFECÇÕES DE PELES E PARTES MOLES, VARICELA COM COMPLICAÇÃO. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO NORTE","HDT - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA PEDIATRICA","PEDIATRIA","ACEITE DA UNIDADE EXECUTANTE","HDT - TRATAMENTO CLÍNICO E/OU DOENÇAS INFECTOCONTAGIOSAS/DERMATOLÓGICAS. TUBERCULOSE, MENINGITE, HEPATITE, AIDS, TÉTANO, ACIDENTES OFÍDICOS, BIOLOGICO E  RÁBICO, HANSENÍASE, PÊNFIGO, VITILIGO, ARBOVIROSE, SRAG, EXPOSIÇÃO VERTICAL AO HIV, FEBRE TIFOIDE, BROQUIOLITE, COQUELUCHE, DIFTERIA, ESQUITOSSOMOSE, DOENÇAS EXANTEMATICAS FEBRIS, LEISHIMANIOSE, MENINGOENCEFALITE INFECCIOSA, MICOSES SISTEMICAS, PNEUMONIA COMPLICADA, RAIVA HUMANA, HIV, SINDROME ICTEROHEMORRAGICAS, TOXOPLASMOSE, INFECÇÕES DE PELES E PARTES MOLES, VARICELA COM COMPLICAÇÃO. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDESTE","HDT - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","CLÍNICA MÉDICA","ACEITE DA UNIDADE EXECUTANTE ","HDT - TRATAMENTO CLÍNICO E/OU DOENÇAS INFECTOCONTAGIOSAS/DERMATOLÓGICAS. TUBERCULOSE, MENINGITE, HEPATITE, AIDS, TÉTANO, ACIDENTES OFÍDICOS, BIOLOGICO E  RÁBICO, HANSENÍASE, PÊNFIGO, VITILIGO, ARBOVIROSE, SRAG, EXPOSIÇÃO VERTICAL AO HIV, FEBRE TIFOIDE, BROQUIOLITE, COQUELUCHE, DIFTERIA, ESQUITOSSOMOSE, DOENÇAS EXANTEMATICAS FEBRIS, LEISHIMANIOSE, MENINGOENCEFALITE INFECCIOSA, MICOSES SISTEMICAS, PNEUMONIA COMPLICADA, RAIVA HUMANA, HIV, SINDROME ICTEROHEMORRAGICAS, TOXOPLASMOSE, INFECÇÕES DE PELES E PARTES MOLES, VARICELA COM COMPLICAÇÃO. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDESTE","HDT - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","INFECTOLOGIA","ACEITE DA UNIDADE EXECUTANTE ","HDT - TRATAMENTO CLÍNICO E/OU DOENÇAS INFECTOCONTAGIOSAS/DERMATOLÓGICAS. TUBERCULOSE, MENINGITE, HEPATITE, AIDS, TÉTANO, ACIDENTES OFÍDICOS, BIOLOGICO E  RÁBICO, HANSENÍASE, PÊNFIGO, VITILIGO, ARBOVIROSE, SRAG, EXPOSIÇÃO VERTICAL AO HIV, FEBRE TIFOIDE, BROQUIOLITE, COQUELUCHE, DIFTERIA, ESQUITOSSOMOSE, DOENÇAS EXANTEMATICAS FEBRIS, LEISHIMANIOSE, MENINGOENCEFALITE INFECCIOSA, MICOSES SISTEMICAS, PNEUMONIA COMPLICADA, RAIVA HUMANA, HIV, SINDROME ICTEROHEMORRAGICAS, TOXOPLASMOSE, INFECÇÕES DE PELES E PARTES MOLES, VARICELA COM COMPLICAÇÃO. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDESTE","HDT - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","DERMATOLOGIA","ACEITE DA UNIDADE EXECUTANTE","HDT - NÃO É AUTORIZADO ENCAMINHAMENTO DE URGENCIA, APENAS DIRECIONAR O PROTOCOLO E AGUARDAR ACEITE DE ACORDO COM A DISPONIBILIDADE DA UNIDADE. 

PERFIL: TRATAMENTO CLÍNICO E/OU DOENÇAS INFECTOCONTAGIOSAS/DERMATOLÓGICAS. TUBERCULOSE, MENINGITE, HEPATITE, AIDS, TÉTANO, ACIDENTES OFÍDICOS, BIOLOGICO E  RÁBICO, HANSENÍASE, PÊNFIGO, VITILIGO, ARBOVIROSE, SRAG, EXPOSIÇÃO VERTICAL AO HIV, FEBRE TIFOIDE, BROQUIOLITE, COQUELUCHE, DIFTERIA, ESQUITOSSOMOSE, DOENÇAS EXANTEMATICAS FEBRIS, LEISHIMANIOSE, MENINGOENCEFALITE INFECCIOSA, MICOSES SISTEMICAS, PNEUMONIA COMPLICADA, RAIVA HUMANA, HIV, SINDROME ICTEROHEMORRAGICAS, TOXOPLASMOSE, INFECÇÕES DE PELES E PARTES MOLES, VARICELA COM COMPLICAÇÃO. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDESTE","HDT - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","ENFERMARIA PEDIATRICA","PEDIATRIA","ACEITE DA UNIDADE EXECUTANTE","HDT - TRATAMENTO CLÍNICO E/OU DOENÇAS INFECTOCONTAGIOSAS/DERMATOLÓGICAS. TUBERCULOSE, MENINGITE, HEPATITE, AIDS, TÉTANO, ACIDENTES OFÍDICOS, BIOLOGICO E  RÁBICO, HANSENÍASE, PÊNFIGO, VITILIGO, ARBOVIROSE, SRAG, EXPOSIÇÃO VERTICAL AO HIV, FEBRE TIFOIDE, BROQUIOLITE, COQUELUCHE, DIFTERIA, ESQUITOSSOMOSE, DOENÇAS EXANTEMATICAS FEBRIS, LEISHIMANIOSE, MENINGOENCEFALITE INFECCIOSA, MICOSES SISTEMICAS, PNEUMONIA COMPLICADA, RAIVA HUMANA, HIV, SINDROME ICTEROHEMORRAGICAS, TOXOPLASMOSE, INFECÇÕES DE PELES E PARTES MOLES, VARICELA COM COMPLICAÇÃO. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDOESTE","HDT - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","CLÍNICA MÉDICA","ACEITE DA UNIDADE EXECUTANTE ","HDT - TRATAMENTO CLÍNICO E/OU DOENÇAS INFECTOCONTAGIOSAS/DERMATOLÓGICAS. TUBERCULOSE, MENINGITE, HEPATITE, AIDS, TÉTANO, ACIDENTES OFÍDICOS, BIOLOGICO E  RÁBICO, HANSENÍASE, PÊNFIGO, VITILIGO, ARBOVIROSE, SRAG, EXPOSIÇÃO VERTICAL AO HIV, FEBRE TIFOIDE, BROQUIOLITE, COQUELUCHE, DIFTERIA, ESQUITOSSOMOSE, DOENÇAS EXANTEMATICAS FEBRIS, LEISHIMANIOSE, MENINGOENCEFALITE INFECCIOSA, MICOSES SISTEMICAS, PNEUMONIA COMPLICADA, RAIVA HUMANA, HIV, SINDROME ICTEROHEMORRAGICAS, TOXOPLASMOSE, INFECÇÕES DE PELES E PARTES MOLES, VARICELA COM COMPLICAÇÃO. ","","","","","","","","","","","","","","","","","","","","",""
"CENTRO SUDOESTE","HDT - GOIÂNIA","MÉDIA E ALTA COMPLEXIDADE","URGÊNCIA E EMERGÊNCIA ","UTI ADULTO","INFECTOLOGIA","ACEITE DA UNIDADE EXECUTANTE ","HDT - TRATAMENTO CLÍNICO E/OU DOENÇAS INFECTOCONTAGIOSAS/DERMATOLÓGICAS. TUBERCULOSE, MENINGITE, HEPATITE, AIDS, TÉTANO, ACIDENTES OFÍDICOS, BIOLOGICO E  RÁBICO, HANSENÍASE, PÊNFIGO, VITILIGO, ARBOVIROSE, SRAG, EXPOSIÇÃO VERTICAL AO HIV, FEBRE TIFOIDE, BROQUIOLITE, COQUELUCHE, DIFTERIA, ESQUITOSSOMOSE, DOENÇAS EXANTEMATICAS FEBRIS, LEISHIMANIOSE, MENINGOENCEFALITE INFECCIOSA, MICOSES SISTEMICAS, PNEUMONIA COMPLICADA, RAIVA HUMANA, HIV, SINDROME ICTEROHEMORRAGICAS, TOXOPLASMOSE, INFECÇÕES DE PELES E PARTES MOLES, VARICELA COM COMPLICAÇÃO. ","","","","","","","","","","","","","","","","","","","","",""
