"UNIDADES EXECUTANTES","TIPO DE LEITO","ESPECIALIDADES","FLUXO REGULATÓRIO","PARTICULARIDADES DA SOLICITAÇÃO POR UNIDADE EXECUTANTE","COBERTURA SAD - MUNICÍPIO REFERÊNCIA X UN. EXECUTANTE","","","","","","","","","","","","","","","","","","","",""
"HOSPITAL SANTA MÔNICA  - AP. DE GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","NEUROCIRURGIA","INTERMEDIAÇÃO","COLUNA, TUMOR CEREBAL (DEPENDE DO GRAU DE ABORDAGEM, LOCALIZAÇÃO), HEMORRAGIA CEREBRAL COM INDICAÇÃO DE CIRURGIA, TUMOR DE HIPÓFISE. NÃO REALIZA EMBOLIZAÇÃO, ANEURISMA MENOR QUE 1,5 TEM QUE AVALIAR CLIPAGEM, NÃO RECEBE PEDIATRIA.   NÃO INSERIR PACIENTES DA REGIÃO CENTRAL DA MACRORREGIÃO CENTRO-OESTE E NÃO INSERIR PACIENTES DA MACRORREGIÃO CENTRO-SUDESTE","","","","","","","","","","","","","","","","","","","","",""
"HOSPITAL SANTA ROSA - GOIâNIA / INTERMEDIAÇÃO ","UTI ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"HOSPITAL SANTA SÃO JUDAS TADEU - GOIâNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","ORTOPEDIA E TRAUMATOLOGIA","INTERMEDIAÇÃO","ORTOPEDIA BAIXA COMPLEXIDADE","","","","","","","","","","","","","","","","","","","","",""
"HOSPITAL SANTA SÃO JUDAS TADEU GOIâNIA  / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"HOSPITAL SANTA SÃO JUDAS TADEU GOIâNIA  / INTERMEDIAÇÃO ","UTI NEO","NEONATOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"HOSPITAL SÃO DOMINGOS - GOIÂNIA  / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"HOSPITAL SÃO SILVESTRE - AP. DE GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","NEUROCIRURGIA","INTERMEDIAÇÃO","COLUNA, TUMOR CEREBAL (DEPENDE DO GRAU DE ABORDAGEM, LOCALIZAÇÃO), HEMORRAGIA CEREBRAL COM INDICAÇÃO DE CIRURGIA, TUMOR DE HIPÓFISE. NÃO REALIZA EMBOLIZAÇÃO, ANEURISMA MENOR QUE 1,5 TEM QUE AVALIAR CLIPAGEM, NÃO RECEBE PEDIATRIA.   NÃO INSERIR PACIENTES DA REGIÃO CENTRAL DA MACRORREGIÃO CENTRO-OESTE E NÃO INSERIR PACIENTES DA MACRORREGIÃO CENTRO-SUDESTE","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA ","UTI ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV): REFÊRENCIA EM RADIOTERAPIA, HEMATOLOGIA, TORÁCICA","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA ","UTI ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA ","ENFERMARIA ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA ","ENFERMARIA ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","UTI ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","UTI ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","UTI ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL ARAUJO JORGE GOIâNIA (INTERMEDIAÇÃO SISCV)","UTI ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
