"UNIDADES EXECUTANTES","TIPO DE LEITO","ESPECIALIDADES","FLUXO REGULATÓRIO","PARTICULARIDADES DA SOLICITAÇÃO POR UNIDADE EXECUTANTE","COBERTURA SAD - MUNICÍPIO REFERÊNCIA X UN. EXECUTANTE","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","UTI CORONARIANA","INTERMEDIAÇÃO","HOSPITAL RUY AZEREDO GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","HOSPITAL RUY AZEREDO GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","HOSPITAL RUY AZEREDO GOIÂNIA (INTERMEDIAÇÃO SISCV): IAM, MARCAPASSO","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","UTI CORONARIANA","INTERMEDIAÇÃO","HOSPITAL RUY AZEREDO GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","HOSPITAL RUY AZEREDO GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","HOSPITAL RUY AZEREDO GOIÂNIA (INTERMEDIAÇÃO SISCV): IAM, MARCAPASSO","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","UTI CORONARIANA","INTERMEDIAÇÃO","HOSPITAL RUY AZEREDO GOIÂNIA (INTERMEDIAÇÃO SISCV)","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","UTI CORONARIANA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","UTI ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL RUY AZEREDO GOIÂNIA","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"INTERMEDIAÇÃO GYN SISCV HOSPITAL SANTA ROSA GOIâNIA ","ENFERMARIA ADULTO","CLÍNICA MÉDICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"PAX CLÍNICA - AP. DE GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","PSIQUIATRIA","INTERMEDIAÇÃO","NÃO É PERFIL: <18 E >60 ANOS, DEMANDA JUDICIAL E INTERNAÇÃO COMPULSÓRIA, DEPENDENTE QUÍMICO COM NECESSIDADE DE ACOMPANHANTES PARA AUTOCUIDADOS, GESTANTES COM INSTABILIDADE CLÍNICA. NÃO INSERIR PACIENTES DA REGIÃO CENTRAL DA MACRORREGIÃO CENTRO-OESTE E NÃO INSERIR PACIENTES DA REGIÃO CENTRO SUL DA MACRORREGIÃO CENTRO-SUDESTE","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","UTI ADULTO","CARDIOLOGIA CLÍNICA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","UTI ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","CARDIOVASCULAR","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","CIRURGIA VASCULAR/ENDO/ANGIO","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","UTI ADULTO","CIRURGIA VASCULAR/ENDO/ANGIO","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","UTI ADULTO","GASTROENTEROLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","GASTROENTEROLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","HEMATOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","UTI ADULTO","HEMATOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","UTI ADULTO","NEFROLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","NEFROLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","UTI ADULTO","NEUROLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","NEUROLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","UTI ADULTO","ONCOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","UTI ADULTO","PNEUMOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","PNEUMOLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","ENFERMARIA ADULTO","UROLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","UTI ADULTO","UROLOGIA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
"SANTA CASA DE MISERICORDIA DE GOIÂNIA / INTERMEDIAÇÃO ","UTI ADULTO","UTI CORONARIANA","INTERMEDIAÇÃO","","","","","","","","","","","","","","","","","","","","","",""
